Year;Machine;PROD;tprep (hrs);tferm (hrs);t_CIP (hrs);total_ferm
2022;F140;GPP;10,86666667;68,11666667;23,85;102,8333333
2022;F200;GPP;8,266666667;69,78333333;24,56666667;102,6166667
2022;F100;ROM;9,166666667;85,01666667;27,46666667;121,65
2022;F218;FRO;33,35;88,43333333;6,3;128,0833333
2022;F140;FLW;14,06666667;68,53333333;23,5;106,1
2022;F200;PLA;11,98333333;140,1166667;10,2;162,3
2022;F218;ASP;13,85;88,28333333;21,88333333;124,0166667
2022;F140;PBN;12,33333333;23,63333333;12,78333333;48,75
2022;F100;ARF;11,78333333;144,6666667;10,33333333;166,7833333
2022;F140;XYL;14,88333333;56,63333333;7,033333333;78,55
2022;F200;MAX;14,26666667;96,13333333;13,45;123,85
2022;F218;LYX;14,88333333;123,4666667;9,983333333;148,3333333
2022;F140;FDA;28,61666667;119,8166667;22,51666667;170,95
2022;F100;MAM;12,2;88,86666667;15,28333333;116,35
2022;F200;GOX;10,61666667;87,28333333;44,01666667;141,9166667
2022;F218;FRO;15,05;101,8166667;13,31666667;130,1833333
2022;F100;MAM;11,4;87,16666667;15,61666667;114,1833333
2022;F140;GPP;19,55;64,06666667;23,85;107,4666667
2022;F200;INV;14,08333333;64,23333333;9,466666667;87,78333333
2022;F218;ASG;11,6;105,4666667;10,43333333;127,5
2022;F100;ARF;12,38333333;148,5333333;8,516666667;169,4333333
2022;F140;PNR;11,3;51,21666667;31,31666667;93,83333333
2022;F218;EDP;14,33333333;113,35;31,03333333;158,7166667
2022;F200;MAX;13,2;92,68333333;11,78333333;117,6666667
2022;F140;XYL;13,51666667;53,26666667;9,716666667;76,5
2022;F100;FUR;15,71666667;48,76666667;12,83333333;77,31666667
2022;F140;FLW;10,68333333;69,85;23,7;104,2333333
2022;F200;GPP;10,78333333;69,85;24,15;104,7833333
2022;F218;EDX;19,93333333;122,0833333;7,283333333;149,3
2022;F100;FUM;12,21666667;100,3;25,86666667;138,3833333
2022;F140;XYL;12,08333333;0;2,3;14,38333333
2022;F200;FRO;27,66666667;93,66666667;6,783333333;128,1166667
2022;F140;PBN;10,21666667;23,06666667;29,51666667;62,8
2022;F218;GOX;8,7;101,85;25,88333333;136,4333333
2022;F100;GOP;8,216666667;37,5;9,05;54,76666667
2022;F140;PBN;10,38333333;23,41666667;27,48333333;61,28333333
2022;F200;GPP;15,6;66,88333333;32,98333333;115,4666667
2022;F100;PLS;15,81666667;93,63333333;12,96666667;122,4166667
2022;F140;BGF;22,18333333;75,71666667;15,78333333;113,6833333
2022;F218;EDP;13,33333333;123,7;7,283333333;144,3166667
2022;F200;MAX;14,16666667;94,36666667;14,95;123,4833333
2022;F100;FUR;18,05;51,28333333;17,85;87,18333333
2022;F140;GPP;11,45;65,7;41,68333333;118,8333333
2022;F218;TAN;10,68333333;88,61666667;22,06666667;121,3666667
2022;F200;FRO;12,28333333;104,0333333;8,5;124,8166667
2022;F100;EDP;8,6;53,13333333;14,45;76,18333333
2022;F140;GPP;18,16666667;68,41666667;26,23333333;112,8166667
2022;F218;ASP;13,61666667;105,2166667;8,083333333;126,9166667
2022;F100;MAM;10,58333333;80,85;22,85;114,2833333
2022;F140;XYL;15,1;48,16666667;8;71,26666667
2022;F218;EDX;11,3;102,7666667;10,16666667;124,2333333
2022;F200;GOX;9,25;118,05;24,61666667;151,9166667
2022;F100;ROM;8,166666667;83,63333333;18,06666667;109,8666667
2022;F140;MAM;12,05;89,45;16,48333333;117,9833333
2022;F218;EDP;11,93333333;128,8166667;11,61666667;152,3666667
2022;F200;CIN;9,55;101,4666667;11,98333333;123
2022;F100;MAM;11,91666667;83,91666667;22,6;118,4333333
2022;F140;FLW;10,25;67,68333333;24,61666667;102,55
2022;F218;TAN;9,95;87,71666667;39,46666667;137,1333333
2022;F100;ARO;15,35;144,2833333;8,883333333;168,5166667
2022;F200;MXB;10,51666667;109,0666667;27,11666667;146,7
2022;F140;GPP;11,56666667;60,5;28,58333333;100,65
2022;F218;GOX;10,11666667;106,8666667;31,18333333;148,1666667
2022;F200;FRO;13,36666667;92,33333333;13,55;119,25
2022;F100;FUR;16,41666667;51,48333333;22,95;90,85
2022;F140;GPP;10,85;65,76666667;26,6;103,2166667
2022;F218;TAN;10,51666667;77,05;21,26666667;108,8333333
2022;F100;EDP;11,96666667;55,55;10,18333333;77,7
2022;F140;GPP;11,2;60,96666667;29,38333333;101,55
2022;F100;FUR;16,31666667;50,66666667;17,36666667;84,35
2022;F200;GPP;10,23333333;66,78333333;25,83333333;102,85
2022;F218;LYX;15,31666667;126,4833333;16,55;158,35
2022;F140;GPP;10,78333333;65,38333333;28,4;104,5666667
2022;F200;INV;10,7;62,38333333;13,28333333;86,36666667
2022;F100;ROM;11,15;85,18333333;24,23333333;120,5666667
2022;F218;GOX;9,966666667;100,1833333;19,6;129,75
2022;F140;BXN;14,36666667;38,71666667;10,2;63,28333333
2022;F200;PEC;11,55;100,5833333;11,05;123,1833333
2022;F100;EPG;24,8;136,6666667;10,28333333;171,75
2022;F140;GPP;13,45;67,51666667;26,5;107,4666667
2022;F218;GOX;13,4;99,21666667;27,88333333;140,5
2022;F200;INV;10,08333333;60,01666667;16,46666667;86,56666667
2022;F140;MAX;11,13333333;98,21666667;16,08333333;125,4333333
2022;F100;MAM;13,35;90,58333333;13,55;117,4833333
2022;F200;EDP;11,86666667;114,1166667;15,36666667;141,35
2022;F218;FRO;19,93333333;101,7166667;8,116666667;129,7666667
2022;F140;FDA;34,9;140,15;12,85;187,9
2022;F218;EDX;14,18333333;89,75;19,45;123,3833333
2022;F100;FUR;19,83333333;48,08333333;16,98333333;84,9
2022;F140;MAM;9;82,13333333;17,46666667;108,6
2022;F100;PME;14,86666667;140,5666667;9,05;164,4833333
2022;F218;PLA;13,1;140,0833333;8,1;161,2833333
2022;F200;MAX KPO;86,31666667;75,28333333;8,566666667;170,1666667
2022;F140;PNR;14,95;29,86666667;9,683333333;54,5
2022;F100;FUR;18,98333333;51,33333333;13,58333333;83,9
2022;F200;INV;10,23333333;61,63333333;12,15;84,01666667
2022;F140;GPP;11,53333333;61,66666667;27,96666667;101,1666667
2022;F218;EDP;24,51666667;66,86666667;16,13333333;107,5166667
2022;F200;MAX;12,11666667;100,3;21,28333333;133,7
2022;F100;ARO;15,36666667;145,1;9,1;169,5666667
2022;F140;BGF;14,08333333;79,13333333;10,6;103,8166667
2022;F200;FUM;16,88333333;93,51666667;10,85;121,25
2022;F218;FRO;13,83333333;104,3333333;6,966666667;125,1333333
2022;F140;FLW;19,9;61,15;35,38333333;116,4333333
2022;F100;CPG;21,03333333;129,9333333;7,366666667;158,3333333
2022;F200;GOX;9,05;108,3;28,03333333;145,3833333
2022;F218;TAN;10,68333333;76,08333333;12,01666667;98,78333333
2022;F140;BXN;13,76666667;36,21666667;24,05;74,03333333
2022;F218;EDP;10,9;130,4833333;6,766666667;148,15
2022;F100;PLN;9,333333333;59,7;21,95;90,98333333
2022;F140;PBN;11,21666667;24,91666667;12,38333333;48,51666667
