,SKU Interm 1,SKU EoF,Enzyme,Fermenter,Batch weight (kg),Total fractions (kg),Fractions (#),fermentation_prep,fermentation_time,fermentation_post,harvesting_time,FAM/MF_time,UF_time,stab_time,UF_fractions,UF__Weight ccUF (kg),MF,Stab,lag_receival_fraction,Etanks required (#),min_number_fractions_start_FAM,lag_start_fam,UF_lag,key
82,17516,10998,MAM,V200,215000.0,132000.0,6.0,12.0,93.0,15.0,24,15.020389032106866,24.639212361909987,4,6,15766.6319903862,0,1,15.0,0.0,5.0,65.0,8.202484180923365,48
83,17516,10998,MAM,V218,215000.0,132000.0,6.0,12.0,93.0,15.0,24,15.020389032106866,24.639212361909987,4,6,15766.6319903862,0,1,15.0,0.0,5.0,65.0,8.202484180923365,49
84,17930,14469,ASG,V100,70000.0,0.0,0.0,12.0,120.0,8.0,0,22.31821454283657,35.906474820143885,4,1,2994.6,0,0,False,1.0,inf,False,8.3993280537557,50
87,17930,14469,ASG,V218,166000.0,0.0,0.0,12.0,120.0,8.0,0,24.326853851691865,27.75607142857143,4,2,6528.228,0,0,False,1.0,inf,False,8.3993280537557,51
88,19765,14469,ASG,V100,70000.0,0.0,0.0,12.0,142.0,8.0,0,0.19566918862509783,0.08342391301630435,4,1,2990.25973928571,1,0,False,1.0,inf,False,0.09131228802504565,52
91,19765,14469,ASG,V218,166000.0,0.0,0.0,12.0,142.0,8.0,0,0.21327941560135663,20.74838789006696,4,2,6518.76623164286,1,0,False,1.0,inf,False,0.09131228802504565,53
92,19767,14469,ASG,V100,70000.0,0.0,0.0,12.0,142.0,8.0,0,0.19566918862509783,0.08342391301630435,4,1,2990.25973928571,1,1,False,1.0,inf,False,0.09131228802504565,54
95,19767,14469,ASG,V218,166000.0,0.0,0.0,12.0,142.0,8.0,0,0.21327941560135663,20.74838789006696,4,2,6518.76623164286,1,1,False,1.0,inf,False,0.09131228802504565,55
96,20343,4778,PLA,V100,100000.0,48000.0,4.0,10.0,162.0,8.0,14,32.30096902907087,81.13443275329351,4,1,7919.51219097561,0,1,80.0,0.0,10.0,120.0,6.65019950598518,56
98,20343,4778,PLA,V200,218000.0,80000.0,4.0,10.0,162.0,8.0,14,35.20805624168725,88.43653170108993,4,2,17264.5365763268,0,1,65.0,0.0,6.0,128.0,6.65019950598518,57
99,20343,4778,PLA,V218,218000.0,80000.0,4.0,10.0,162.0,8.0,14,35.20805624168725,88.43653170108993,4,2,17264.5365763268,0,1,65.0,0.0,6.0,128.0,6.65019950598518,58
100,20353,20348,PIC,V100,66000.0,0.0,0.0,10.0,48.0,18.0,37,12.60022909521879,22.050400916380298,4,1,1503.906,0,0,False,1.0,inf,False,4.00916380302416,59
104,20355,20348,PIC,V100,66000.0,0.0,0.0,10.0,48.0,18.0,37,45.000000008181814,31.70028818443804,4,1,1503.90624951045,0,1,False,1.0,inf,False,14.318181820785123,60
